Head	CymD.C.HB	CymD.C.HRP	CymD.C.LB	CymD.C.LRP	CymD.C.MRP	CymS.C.B	CymS.C.HRP.1	CymS.C.HRP.2	CymS.C.LRP.1	CymS.C.LRP.2	CymS.C.NBB.1	CymS.C.NBB.2
SZUA-1152	645.697340778178	860.977151711359	54.2240173749518	683.337572393208	798.936377021515	113.483053888975	240.699165027444	91.648716799338	819.136181951406	88.6718585127202	43.4863425739876	5.84779622960506
SZUA-1153	1043.34644691513	1588.83605496239	108.52455178855	973.686456287712	1481.80455478682	361.5446525407	571.660217633134	182.141586183134	1483.07689787535	122.16856514837	73.339250711819	12.6370120224848
SZUA-1154	317.814179832377	7785.23522519958	139.393902963276	2801.12214265934	2340.65699430792	33.1397368956953	1343.85528638508	1363.27369981468	15067.9559876064	343.29836545346	69.8407112510801	31.88328855819
SZUA-1156	4664.22220146702	3188.34171866007	360.063433464966	4556.37388066494	3838.12008607792	612.443955255324	1044.41699338682	273.957989188009	2750.8088636724	209.621593762327	178.215989120372	39.50415300123
SZUA-1157	88.113770095311	75.3131858975733	19.4873434881251	191.487127635901	259.24239543075	37.5137472027651	29.9110918636478	17.020955353697	84.7739316918247	21.9635339857753	5.2721281515598	5.07417196260253
SZUA-1158	65.5217007287103	52.1586754715089	45.7593491468441	120.080231904598	341.675140606264	102.841454823285	234.837406312378	94.1292264975034	69.4351128969722	99.1860843896151	72.8900162190273	30.2183797999722
SZUA-1159	851.252412553734	1486.96497694183	136.513020812251	1357.69667784061	1339.3876775778	213.951726325019	1968.38196716358	360.768719251156	1120.60422582971	661.579712529864	92.8587991209655	20.7782662469759
SZUA-1160	369.965324265524	142.817413383143	16.722106478598	390.056064739321	239.601280755527	25.1081347992592	72.6171454815506	33.2677733265548	87.2683250462047	28.6108357893034	24.9880655385801	7.08679540034193
SZUA-1161	83.9580109291701	168.099915160264	9.41870593178176	73.8625419845632	86.117877949547	38.5839032758982	20.4651400933472	11.1639832173924	125.864212020069	8.80399387917418	21.2819461021863	2.10762067790783
SZUA-1164	156.10476498088	65.7621481152892	98.4562826683251	349.202213050726	270.779826426659	95.5652617951845	87.2548054645947	54.9308300365103	99.7168440952129	89.7262606009524	63.9163345094612	90.273725174629
SZUA-1165	1517.81906474967	650.199022096268	654.822025909266	5248.03351884211	4554.36868996975	2032.92152469539	1985.35294619599	1675.32246943857	784.832123502941	763.098110581204	326.146533885468	312.133993885847
SZUA-1167	4938.58635365522	788.512007393325	890.659746302574	748.673297321665	948.750721699022	2928.93556083844	1176.65712430948	345.887712264818	567.096471299988	139.132474765484	464.187491567693	2.32515751131159
SZUA-1168	953.028802494969	587.047788009904	447.699727585471	498.093344402888	482.64921944551	382.971361635212	180.746676024633	109.109139418036	486.794257883636	781.761056722199	10228.7537981629	3793.87740443451
SZUA-1169	43.8169941771427	86.150539402329	15.5324023905397	143.755313867588	84.2839134499961	8.03351837489144	9.45824457863591	2.77497244333344	73.7906779333834	11.2733292719277	4.03107436216831	0.835487882178156
SZUA-1172	1046.49834843578	738.729637038897	85.466459591141	1002.65397770321	534.943846534963	254.423404675636	285.307084079331	97.8756702763795	655.570444036049	53.2945609305008	44.190592809197	9.17024988923055
SZUA-1174	340.412317024435	228.194193979317	21.5420256309848	142.562470118677	247.145454158468	89.378163862307	34.532763315458	26.0576189694183	96.7660176840768	29.1793934435086	15.2901570662839	1.78807210059596
SZUA-1175	282.475003510875	669.743333836888	26.9563132795067	229.654450198435	490.304756632176	86.1067332388674	108.037920838958	50.0291904928996	495.461266494091	19.7988725237236	27.8783373506443	4.86052109158215
SZUA-1177	301.557761269767	301.906363605954	22.7834839040153	347.744582186052	357.132206412761	117.646823521068	189.474957592914	87.4312958466492	269.827268154511	59.7294325880503	23.0567198825162	3.65002917273916
