Head	B.Cym.mean	P.Cym.mean	P.GyBn.mean	B.Lau.mean	P.Lau.mean
SZUA-1252	4.444673038	4.439789529	0.091340292	13.42399053	37.0831794
SZUA-1253	36.32175182	38.46830653	2.862883976	28.96437412	42.61084082
SZUA-1254	1.909541275	1.495810467	0.781300566	13.80727792	20.84433803
SZUA-1257	10.12767431	6.44109499	3.362113321	9.381408778	18.41524445
SZUA-1258	0.638117443	0.448901902	7.335528166	10.04364778	19.27932918
SZUA-1262	26.13823067	27.59242651	5.130627186	32.99868006	33.68287282
SZUA-1263	0.369409676	0.390247039	0.563944589	14.10437403	29.58780763
SZUA-1264	0.026515234	0.036675004	0.026240843	27.07588115	0.150273715
SZUA-1266	0.572656403	0.505869916	1.473558286	34.15842933	24.01091553
SZUA-1270	7.957629764	7.108082565	3.067816437	15.2402676	26.30987146
SZUA-1271	0.280444384	0.641340468	0.159784205	15.58002087	31.93697638
SZUA-1276	6.829259065	1.906200647	4.943932007	30.30520485	24.52040094
SZUA-1278	6.510580434	4.782150831	0.766557353	36.56448019	25.1865858
SZUA-1285	4.034747407	5.817123027	8.925866432	23.30285343	49.98872865
SZUA-1287	7.665484999	6.944960731	1.99219027	22.54343318	41.75306512
SZUA-1290	34.72713362	37.87044265	0.934639694	24.218447	37.77770801
SZUA-1291	16.68156437	16.53879057	25.65296481	105.1068848	88.43729839
SZUA-1292	0.783927242	0.681624581	0.079729354	13.03767908	26.64777713
SZUA-1295	7.124125501	8.356756564	5.820218792	17.0415658	27.33345973
SZUA-1298	0.018191919	0.019917748	0.182702526	15.25711444	31.06532102
SZUA-1301	59.97139117	44.13366858	13.22797485	90.73560534	47.85450451
SZUA-1304	0.374904787	0.385382224	1.501183875	28.34047163	20.86137671
SZUA-1305	8.468993604	6.269147905	1.996743548	37.14718679	24.13033236
SZUA-1306	1.418143378	1.098919906	0.766705132	11.79394738	17.52913646
SZUA-1311	24.45440653	17.9329597	12.29516827	30.82509109	24.21505471
SZUA-1312	0.002218883	0.002574476	0.000711825	8.850322834	34.16434696
